NAME OF PROJECT,project_type
F/A-Moises Cuello ES,Non-Infrastructure
FA Consultative Meeting in the Barangays,Non-Infrastructure
FA- LIga ng mga Barangay ,Non-Infrastructure
FA- Slope Protection,Infrastructure
FA-Desilting of patlad creek,Non-Infrastructure
FA-Preparation of KSK 2025,Non-Infrastructure
Fabrication of Additional Foot Steps,Non-Infrastructure
Feeding Program(Day Care Component to Pre School) Municipality of Estancia,Non-Infrastructure
Financial Assistance (Busing of hanging bridge),Non-Infrastructure
Flagpole,Non-Infrastructure
Gabion Dike,Non-Infrastructure
Galvanized Iron,Non-Infrastructure
Gravelling ,Infrastructure
Handheld search lights,Non-Infrastructure
Handsfree Washing for Jelicuon Elem Sch.,Non-Infrastructure
"Holding of Blood-Letting Activity on Oct. 2, 2016",Non-Infrastructure
Holding of Tultugan Festival,Non-Infrastructure
Hosting the Congressional Meet,Non-Infrastructure
Iloilo-Capiz Old Route (K0024 + K0028 + 759),Infrastructure
Implementation of Swine Sentineling Program(378 swine),Non-Infrastructure
Installation of Air Conditioning System,Non-Infrastructure
Installation of Basketball Board w/ Ring,Non-Infrastructure
Inter-Zone Basketball and Volleyball League,Non-Infrastructure
Irrigigation Project,Non-Infrastructure
Ist Operation Tuli 2023,Non-Infrastructure
KALAHI CIDDS sub projects,Non-Infrastructure
Kalahi-CIDDS NCDDS Tier 2,Non-Infrastructure
LOT,Non-Infrastructure
LOT Siwalo NHS,Non-Infrastructure
Laptop and Printer at Tapacon Elementary School,Non-Infrastructure
Lawn Mower,Non-Infrastructure
Lawn Mower Barasan Elem. Sch.,Non-Infrastructure
Learning Facilities,Infrastructure
Lot (140 sq. m),Non-Infrastructure
M R F,Non-Infrastructure
"MP Hall (Stairs, windows)",Infrastructure
MPH Consolacion ES,Infrastructure
MRF and Vermicompost Bed  (2),Non-Infrastructure
Main Gate,Infrastructure
Maintenance of Mother and Child Hospital,Infrastructure
Makeshift Classroom at Bancal Integrated Sch.,Infrastructure
Makeshift classroom(1room),Infrastructure
Materials of basketball Board,Non-Infrastructure
Mini sound System- Bita-og Gaja Elemtary School,Non-Infrastructure
Multi Purpose Conference Tables,Non-Infrastructure
Mun. Disposal Site,Infrastructure
Municipal Youth summit,Non-Infrastructure
Nutritional Post,Non-Infrastructure
One Job Publication (Tubong-Tubong Festival),Non-Infrastructure
One Unit Classroom Bldg.,Infrastructure
Organic Soybean Production,Non-Infrastructure
Ornamental Crops Production,Non-Infrastructure
Painting,Non-Infrastructure
Palayamanan,Non-Infrastructure
Pay Ground Sta. Cruz,Infrastructure
Payment for Site Development,Non-Infrastructure
Payment of Brgy. Agricultureworker/enumerators Honoraria Relative to the Implementation of Provincial Agri-Fishery Info System.,Non-Infrastructure
Piglet Production and Marketing Project,Non-Infrastructure
Pipe culvert,Infrastructure
Pipeline,Infrastructure
Post Closure Operation,Non-Infrastructure
Post harvest facility,Infrastructure
Post-Harvest Flat Bed Dryer,Non-Infrastructure
Post-Harvest Rice Mill,Non-Infrastructure
Pre Dispersal Weighing of Piglets,Non-Infrastructure
Pre-Dispersal Weighing of Piglets &Distribution of Piglets to Beneficiaries,Non-Infrastructure
Procurement of School Equipment (Laboratory Equipment and Facilities),Non-Infrastructure
Prolector w/ Screen,Non-Infrastructure
Proper Lipata-San Geronimo FMR Barotac Viejo DAR-ADB ARCP,Non-Infrastructure
Purchase of Materials for the Well Development of Sohoton Water System  ,Infrastructure
Purchase of Refrigerator of Day Care Center ,Non-Infrastructure
Purchase of Supply Materials of Water System,Infrastructure
Purok Resilience Program Resettlement Project @ Brgy. Nangka Batad( 10 units @ threeplex house),Non-Infrastructure
Purok Resilience Program resetlement Project @ Brgy. Nangka Batad,Non-Infrastructure
RC Pipe Box Culvert,Infrastructure
Rabbrized Paint,Non-Infrastructure
Rahabilitation/,Non-Infrastructure
Rainwater Housing Facility,Infrastructure
Regravelling,Infrastructure
Resource Center (ceiling),Infrastructure
Restoration of Sta. Barbara Convent,Infrastructure
Riprap Protection,Infrastructure
Riser- Sitio Pangpang,Non-Infrastructure
"Roof Mounted Enphase Solar PV System( 10 panelss @ 25KW, No bateries)",Non-Infrastructure
Safe Closure and Rehab of Disposal Site (Equipment Rental in sol covering),Infrastructure
Safe Closure of Dumpsite,Infrastructure
Sala Set and Filing Cabinet (Health Center),Non-Infrastructure
Sch Bldg,Infrastructure
School Bldg. and equipment,Infrastructure
School Supplies,Non-Infrastructure
Scout Jamboree,Non-Infrastructure
Sea Water Protection,Infrastructure
Seawall-Brgy. Mambatad,Infrastructure
Senior Citizen Bldg.,Infrastructure
Senior Citizen Center,Infrastructure
Senior Citizen Officer (VAWC and BADAC of Igang),Non-Infrastructure
Senior citizen Center,Infrastructure
Sidewalk(100 liner meter),Infrastructure
Signage Steel Post,Infrastructure
Slope Protectiob Cagbang,Non-Infrastructure
Slope Protection - Mainguit Elem. Schl,Infrastructure
Slope protection,Infrastructure
Solar Bateries,Non-Infrastructure
Solar Drier,Non-Infrastructure
Solar Dryer,Non-Infrastructure
Solar Lamp,Non-Infrastructure
Solar Lamps,Non-Infrastructure
Solar Power Inverter,Non-Infrastructure
Sound System for Tubungan Central Elementary School,Non-Infrastructure
Stainless Steel Signage(Brgy. Name),Non-Infrastructure
Steel Cabinet ,Non-Infrastructure
Steel Filling Cabinet,Non-Infrastructure
Stell Cabinet,Non-Infrastructure
Sub. Project of 17 Brgys.,Non-Infrastructure
Supplementary Feeding Program Day  Care Components to 630 pre-school children,Non-Infrastructure
Supplementary Feeding Program Day Care  components to 450 pre-school children,Non-Infrastructure
Supplementary Feeding Program Day Care Component to 287 pre-school children as recipient to the said program,Non-Infrastructure
Symposium (Snacks),Non-Infrastructure
TF Bancal ES,Non-Infrastructure
TF Slope Protection between Bancal ES and Bancal NHS,Infrastructure
TF- Prospero Palomo Elem. Sch.,Infrastructure
"TF-Const. of Public Toilet @ sitio naluoyan, Sapao,Dumangas",Infrastructure
TF-Pasalubong and Information Center,Infrastructure
Television & Standfan - Dilujan Elem. Sch.,Non-Infrastructure
Track Oval Janiuay NHS,Infrastructure
Transfer Fund,Non-Infrastructure
Transfer of Fund,Non-Infrastructure
Transfer of Fund- (Riprap),Infrastructure
Transfer of Funds,Non-Infrastructure
Transfer of Funds (For ASF),Non-Infrastructure
Transfer of Funf- Partol Boat,Non-Infrastructure
Vegetable Development,Non-Infrastructure
"Waste Management Support/Facilities/Equipments( Fencing,MRF Bldg,MRF Office,Fish Pond, Gravel Road)",Infrastructure
Water Bestank,Non-Infrastructure
Water Supply,Infrastructure
Water Supply System,Infrastructure
Water Tanks,Non-Infrastructure
Water hose,Non-Infrastructure
Weighing Scale,Non-Infrastructure
Weighing Scale ,Non-Infrastructure
Well development,Infrastructure
Yniform and Supllies of Brgy. Tanod,Non-Infrastructure
Youth Camp,Non-Infrastructure
