NAME OF PROJECT,n_rows,heuristic_v2_at_labeling_time,label
Improvement of Multi- Purpose Hall (Finishing),1,Infrastructure,I
FA- Brgy. Tanod Outpost,1,Unclassified,I
Hygiene Kit,1,Unclassified,N
FA-Laptop witth Printer @ San Salvador E.S.,1,Non-Infrastructure,N
Barangay Plaza (Stage),1,Unclassified,I
Improvement of Barangay Water System,1,Infrastructure,I
Child Development Center,3,Unclassified,I
Rehab of Child Development Center,2,Infrastructure,I
Mono Block Chairs (80 pcs. ),1,Non-Infrastructure,N
Halogen Lights,2,Unclassified,X
Brush Cutter,9,Unclassified,N
Construction of 1 Unit 3 Classroom Bldg.- Malag-it Elem. Sch.,1,Infrastructure,I
Guban Competition,3,Unclassified,N
Municipal Disposal Site,5,Unclassified,I
Chairs,7,Non-Infrastructure,N
Installation of St. Lights,15,Unclassified,I
Completion of Health Center,2,Unclassified,I
One Unit Laptop,1,Non-Infrastructure,N
Rehab of Day care center,1,Infrastructure,I
Financial Assistance,65,Non-Infrastructure,N
Swivel Chairs & Monoblock Chairs,1,Non-Infrastructure,N
Transfer of Fund- (Riprap),1,Unclassified,I
Sk Officials Uniforms ,1,Non-Infrastructure,N
1.685sqm lot purchase,1,Non-Infrastructure,X
Radio Communication Hanset,1,Non-Infrastructure,N
Construction of Slope Protection between Bancal National High Sch. and Bancal Elem. Sch.,1,Infrastructure,I
TF (FMR- Brgy. Guibuangan),1,Unclassified,I
Concreting of Batuan-Iwa Road (200 l.m./ 305 m3,1,Infrastructure,I
Brgy. Road (Gravelling),1,Infrastructure,I
Stage-Bagacay National High School,1,Infrastructure,I
Repair of Scholl Building of Pararinga Primary School,1,Infrastructure,I
School Building Sulong ES,1,Infrastructure,I
Solar St Lights,5,Unclassified,I
Street lights,8,Infrastructure,I
Socio Cultural Activites,4,Non-Infrastructure,N
Financial Assistance ,1,Non-Infrastructure,N
Completion of MP Hall/Evacuation Center,1,Unclassified,I
Completion of Bilidan Elem. Sch. Phase 2,1,Unclassified,I
Construction of Sewerage Treatment Plant,1,Infrastructure,I
one unit air condition,1,Unclassified,N
Installation of Air Conditioning System,1,Unclassified,N
Financial Assistance (Electric Motor for Day Care Center),1,Unclassified,N
CCTV Camera (5 units),2,Non-Infrastructure,N
Rehab/Improvement of Multi Purpose Hall,1,Infrastructure,I
Monoblock Chair,2,Non-Infrastructure,N
Construction of Day Care Center,6,Infrastructure,I
Constructionof Street Lights,1,Infrastructure,I
"Repair/Rehabilitation of Dueñas  Multi-Purpose Building in Brgy. Poblacion C,",1,Infrastructure,I
Construction og Footwalk,1,Infrastructure,I
Renovation of Day Care Center,1,Infrastructure,I
Laptop ,3,Non-Infrastructure,N
Classroom,4,Unclassified,I
Installation of Street lights,4,Infrastructure,I
Pasalubong Center,5,Unclassified,I
Proposed Construction/Rehabilitation of Hospital Isolation & Wards of of Dr. Ricardo Y. Ladrido Mem. Dist. Hospital,1,Infrastructure,I
Installation of Solar Street Lights(21 units),1,Infrastructure,I
Const. of School Classroom Building @ DCANHS,1,Infrastructure,I
CCTV Camera (1 monitor & 8 cameras),2,Non-Infrastructure,N
Construction of Streetlights of Brgy.Poblacion,1,Infrastructure,I
"CCTV Camera (1 Monitor, 4 Cameras)",1,Non-Infrastructure,N
Instructional Materials(TV),1,Unclassified,N
Electrification,4,Unclassified,I
Improvement of Plaza Basketball Court,1,Infrastructure,I
Installation of Solar St. Lights,10,Unclassified,I
Construction of 2 units footbridge,1,Infrastructure,I
Executive Chairs,1,Non-Infrastructure,N
Solid Management Program Support Facility Equipment,1,Non-Infrastructure,N
Construction of Multi-Purpose Pavement,5,Infrastructure,I
Multi Purpose Hall (Tiles),2,Infrastructure,I
Brgy. Onop Plaza,1,Unclassified,I
Roofing of Army  type BLDG.,1,Unclassified,I
Repair of School Building Ponong Grande ES,1,Infrastructure,I
Rehabilitation/Improvement of Day Care Center,2,Infrastructure,I
Epoxy Sealer,1,Unclassified,N
Fiber Glass Board,4,Unclassified,N
Solar St. Lights (8 posts),2,Unclassified,I
Rehab/Improvement of Health Center,1,Infrastructure,I
2 units Large industrial Ceiling Fans,1,Unclassified,N
Yolanda Rehabilitation Project  Batad People’s Village,1,Infrastructure,I
Year End Assessment Activity(food Expenses and gift giving),1,Unclassified,N
Photocopier,9,Unclassified,N
Imp. /Rehab of MP Hall (5 Posts),1,Infrastructure,I
Electric Water Pump,3,Unclassified,N
Cash Prize,3,Unclassified,N
St. Lights (10 posts),1,Unclassified,I
Session Table,4,Unclassified,N
"Electrical Wiring, Water Floater & Water Meter",1,Unclassified,X
CCTV Camera(9 units),1,Non-Infrastructure,N
"School Building, Jamabalud ES",1,Infrastructure,I
1- unit Computer Set,1,Non-Infrastructure,N
Purchase of Additional facilities and equipment ofr Pasirungan Teen Center PAssi NHS,1,Non-Infrastructure,N
F/A Shirts for Senior Citizens,1,Unclassified,N
Purchase of Refrigerator of Day Care Center ,1,Unclassified,N
10 Units Office Table,2,Unclassified,N
Renovation and widening of Mun. stage,2,Unclassified,I
Donations,18,Unclassified,N
"Day Care Center (Kitchen, Roof & Paint)",1,Infrastructure,I
Construction of Farm to Market road (Opening),1,Infrastructure,I
Installation of Streetlights along national Road,1,Infrastructure,I
2nd Round Evaluation of Solid Waste Management Program,5,Unclassified,N
Electric Motor water Pump,2,Unclassified,N
Installation of Solar stlights,3,Unclassified,I
Installation of St Lights,2,Unclassified,I
Installation of Streetlights of Bgry. Sagcup,1,Infrastructure,I
Cash Award,13,Unclassified,N
Kitchen Tools & Utensils,3,Unclassified,N
Purchase of Machinery & Equipment,1,Non-Infrastructure,N
FA-Conduct of Socio Culturalo Activities(Year End Assessment),1,Non-Infrastructure,N
2019 Search for Outstanding LGUs on Ecological and Sustainable Solid Waste Management System (E+3S) Yr.3 ,12,Unclassified,N
Multi-Purpose Building (Courtlight),1,Infrastructure,I
Pathwalk,1,Unclassified,I
Public Address,7,Unclassified,N
Alcohol Dispenser (30),1,Unclassified,N
F.A Socio Cultural Activities,5,Non-Infrastructure,N
Renovation of the Roofs & Const. of Additional Bleachers of the Covered Area,1,Unclassified,I
Purchase of Audio Visual Equipment,1,Non-Infrastructure,N
Construction of slope Protection ,1,Infrastructure,I
FA-Public Adress System,4,Unclassified,N
FA (Industrial Fan 2 Units),1,Unclassified,N
Expansion of Barangay Plaza,1,Unclassified,I
Evacuation Center,10,Unclassified,I
Aircon,6,Unclassified,N
Installation of st. Lights,2,Unclassified,I
Kitchen Utensils,5,Unclassified,N
Installation  of Solar St. lights,1,Unclassified,I
Generator,4,Unclassified,N
Office table and Swivel Chair,1,Unclassified,N
Mono block Chairs 78 pcs,2,Non-Infrastructure,N
F.A Provincial Cooperative Month,1,Unclassified,N
Grass Cutter and Monoblock Chairs,1,Non-Infrastructure,N
FA (Food Barangay Day),1,Unclassified,N
Major Repair of Fire Truck,1,Infrastructure,N
Walk way (covered),1,Unclassified,I
Solar St.Lights,1,Unclassified,I
FA,2,Unclassified,X
Construction of brgy. Health Cenetr,1,Infrastructure,I
Installation of Solar Sat. Lights,1,Unclassified,I
F.A. Solar St.Lights,1,Unclassified,I
Grass Cutter,18,Non-Infrastructure,N
Computer Set w/ Accessories ,1,Non-Infrastructure,N
Multi –purpose Center (Bitaog- gaja),2,Infrastructure,I
Extension of streetlights,1,Infrastructure,I
Projector,9,Non-Infrastructure,N
FA-Socio Cultural Activities( Araw ng Kabataan),1,Non-Infrastructure,N
Food Technology Center,1,Unclassified,I
Office Tables and Chairs,2,Non-Infrastructure,N
Set up Border control check points(Food),4,Unclassified,N
F/A Tables and Monoblock Chairs,1,Non-Infrastructure,N
high end digital shotclock with score board,1,Unclassified,N
PhotoCopier,1,Unclassified,N
Air Condition Split Type,1,Unclassified,N
Pathway,1,Infrastructure,I
Laptop w/ Printer ,1,Non-Infrastructure,N
School Facilities- Balud II Elem. Sch.,1,Infrastructure,X
Renovation of Child Development center,1,Unclassified,I
DONATION FOR THE SOLID WASTE MANAGEMENT PROGRAM,1,Unclassified,N
Computer set w/ Printer,11,Non-Infrastructure,N
Improvement/Rehabilitation of Potable Water System,1,Infrastructure,I
FA-Jersey Uniform-Players and Coach,1,Non-Infrastructure,N
Socio- Cultural,2,Non-Infrastructure,N
Brgy. Agricultural Workers/enumerators honoraria,1,Unclassified,N
Concreting Castilla St.,1,Infrastructure,I
Sports Development Activities,5,Unclassified,N
Installation of Streetlights (4 Units),1,Infrastructure,I
4 Tables and 40 Chairs,1,Non-Infrastructure,N
F.A Additional Wirings,1,Unclassified,X
Construction of Brgy. Footwalk,1,Infrastructure,I
Improvement of water system,1,Infrastructure,I
"Monoblock Chairs , Conference Tables Mini Bass",1,Non-Infrastructure,N
Monoblock Chairs (30pcs),1,Non-Infrastructure,N
"School Buiding-Daga-Barasan, Sta. Barbara",1,Infrastructure,I
Construction of Benches,3,Infrastructure,I
Multi Purpose Hall- Bagumbayan,1,Infrastructure,I
FA-Laptop with accessories,1,Non-Infrastructure,N
Construction of Green Restroom- Brgy. Pamul-ogan,1,Infrastructure,I
Furniture and Fixtures,4,Unclassified,N
Consttruction of Reinforced Concrete Box Culvert,1,Unclassified,I
Rehabiliation of Brgy. Road,2,Infrastructure,I
Repair of Sch. Building H.E. Tupaz Elem. Sch.,1,Infrastructure,I
Plastic Chair,6,Unclassified,N
Const. of Slope Protection,1,Unclassified,I
Construction of School Building Dueñas CES,1,Infrastructure,I
1 Unit Computer and 1 Unit Printer,1,Non-Infrastructure,N
Completion of Multi Purpose Center (Covered Gym),1,Infrastructure,I
Purchase of Handheld radios,1,Non-Infrastructure,N
Sand and Gravel,1,Unclassified,N
Construction of Water System - San Rafael Elem School,1,Infrastructure,I
"1 Set Projector, Trolley Speaker w/ Microphone",1,Non-Infrastructure,N
Generator Set,7,Unclassified,N
Footwalk ,1,Infrastructure,I
Financial Assistance Street Lights,2,Unclassified,I
Rehabilitation of Brgy. Road (fuel),1,Infrastructure,I
5 Units -54 Inches LED TV for Tiring National High Sch.,1,Unclassified,N
1 Unit Sound System,1,Non-Infrastructure,N
Telasion Set,1,Unclassified,N
1 Unit Desktop Computer w/ Printer,4,Non-Infrastructure,N
Radio Hand set with extra Pack,1,Non-Infrastructure,N
Pipe Culvert(12 pcs),1,Unclassified,X
1 Unit Printer ,1,Non-Infrastructure,N
Stainless Chair,1,Unclassified,N
1 unit Aircon & Dispenser,1,Unclassified,N
FA division sports council meet,2,Unclassified,N
Handheld Radio (7 units),1,Non-Infrastructure,N
Tanod Parapernalia,1,Unclassified,N
Monoblocl Chairs,8,Non-Infrastructure,N
"School Building, Camambugan ES",1,Infrastructure,I
Computer Set & Accessories,1,Non-Infrastructure,N
Teen Center Milan National High Sch.,1,Unclassified,I
Fencing of Guibuangan ES,2,Unclassified,I
Water Pumps,1,Unclassified,N
"Mini sound System- Cabilauan, Elem. School",1,Unclassified,N
Uniform of Brgy. Volunteeers (84 Pcs.),1,Non-Infrastructure,N
Construction of Streetlights Zone I-II,1,Infrastructure,I
Trapal (10 pcs),1,Non-Infrastructure,N
Mono Block Chairs (100 pcs),4,Non-Infrastructure,N
"Brgy. Officials, BHWs and Tanod Uniforms",1,Non-Infrastructure,N
Foot Bridge Purok 7 Brgy. Zone 1 (14 ln.m.),1,Infrastructure,I
One Unit Aircon,1,Unclassified,N
Construction of Retaining Wall- Wayang & Concreting Access Rd-Dingle,1,Infrastructure,I
Common Quarantine Facilities,1,Unclassified,I
FA-Monoblock Chairs,5,Non-Infrastructure,N
Installation of Power line at COVID-19 Facility and Improvement of Transformer Pad with Powerhouse at Iloilo Provincial Hospital,1,Unclassified,I
Emergency generator and aircon,1,Unclassified,N
"FA-CCTV Camera(7 units camera colored, 1-monitor screen)",1,Non-Infrastructure,N
Day Care center,3,Infrastructure,I
Sto. Niño Integrated School,1,Infrastructure,I
Session Tables,8,Non-Infrastructure,N
Rehab of Drainage Canal,1,Infrastructure,I
Audio / Sound System -Built-in,1,Non-Infrastructure,N
Improvement of Acao-Ito Road Concrete Line Ditch Canal (240 l.m.),1,Infrastructure,I
Repair/Rehabilitation of School Building of Apia Elem. Sch,1,Infrastructure,I
Tanod Paraphernalia & Equipment,1,Non-Infrastructure,N
Conduct of Socio Cultural Activities,5,Non-Infrastructure,N
F/A Improement of Water System,1,Infrastructure,I
Defray Expenses for Tubong-Tugong Festival,1,Unclassified,N
Pipelines,1,Unclassified,X
Construction of Multi Purpose hall,3,Infrastructure,I
Concrete Canal Zone II,1,Infrastructure,I
Monoblock Chairs- Buayahon Bantay NHS,1,Non-Infrastructure,N
Solar Street Lights( 10 units),1,Infrastructure,I
Feeding Program(Day Care Component to Pre School) Municipality of Estancia,1,Unclassified,N
Purchase of Teacher Table and Solid Armchairs-SEF,1,Non-Infrastructure,N
3rd District Congressional Meet,1,Unclassified,N
Improvement of Tourism Spot (Vewing Deck),1,Infrastructure,I
School Building LinabES,1,Infrastructure,I
TF-ISSC MEET,1,Unclassified,N
Donations (moving up Ceremony of Day care ),1,Infrastructure,N
Jetmatic Pumps (50 Pcs.),1,Unclassified,N
FA-Provision of Cold Storage for the Municipality @ Food Terminal,1,Unclassified,N
School Bulding,1,Infrastructure,I
1 unit 1 person Workstation and 1unit 3 Drawer Lateral Filing Cabinet,1,Unclassified,N
Trpal (6pcs.),1,Unclassified,N
FA/ LGU for Disaster Mitigating and Response Program,1,Unclassified,N
Mono block chairs,1,Non-Infrastructure,N
Municipal Dumpsite,1,Unclassified,I
Purchase of Additional Amenities of Teen Center,1,Non-Infrastructure,N
Computer set w/ printer,2,Non-Infrastructure,N
Const. of Brgy. Quadrangle Fence,1,Infrastructure,I
Installation of Solar St. ligths,2,Unclassified,I
CCTV Camera,95,Non-Infrastructure,N
Kalahi CIDDS: NCDP Tier 2 (Concreting of road)                       1. Coto et al.                                 2. Capangyan                                         3. Kurot-an,1,Infrastructure,I
"1 Unit Laptop, Printer and Projector",1,Non-Infrastructure,N
"Socio Cultural Activity(Fiesta Celebration, Food Expenses, Sound system Expenses)",1,Non-Infrastructure,N
Installation of Lighting System,1,Unclassified,I
Xerox Machine and Plastic Chairs,1,Non-Infrastructure,N
Multi Purpose building,1,Infrastructure,I
1 Unit Aircon,1,Unclassified,N
Portable Radio and Complete Accessories,1,Non-Infrastructure,N
Installation of Solar st. Lights,4,Unclassified,I
Sidewalk Canopy (Mina National High Sch.),1,Unclassified,I
Service Vehicle ( MotorCycle Trike),3,Unclassified,N
Safe Closure and Rehab of Disposal Site (MRF Construction),2,Infrastructure,I
Proposed Landscaping of Iloilo Provincial Hospital,1,Unclassified,I
F/A Emergency Response Vehicle (Tricycle) ,1,Unclassified,N
Proposed Installation of Makeshift Classroom,1,Unclassified,I
FA procurement of furniture and fixture,1,Non-Infrastructure,N
Proposed Landscaping,1,Unclassified,I
Barangay Agricultural Workers,3,Unclassified,N
Furniture and Fixture,8,Unclassified,N
F/A public Address System,3,Unclassified,N
TF Completion of Child Development Center,1,Unclassified,I
Constn of Covered court,1,Unclassified,I
Tables,1,Non-Infrastructure,N
CCTV Camera and Complete Accessories,1,Non-Infrastructure,N
Health Center (Kitchen & Extension),1,Unclassified,I
1 Unit Computer Set w/ Table,1,Non-Infrastructure,N
Municipal Stage,1,Unclassified,I
MP Hall,3,Unclassified,I
Commemorating of Phil. Independence Day,2,Unclassified,N
Session Tables (10 pcs),1,Non-Infrastructure,N
Completion of Multi Pupose Building,1,Infrastructure,I
Conduct of Socio Cultural Activity (Brgy. Fiesta-Costume),1,Non-Infrastructure,N
Const. of Two Storey health Station,1,Unclassified,I
1 computer set with accessories,1,Non-Infrastructure,N
Industrial Fan,3,Unclassified,N
FA-Monoblock Chairs( 50 pcs ),1,Non-Infrastructure,N
Various Socio Cultural Activity,1,Non-Infrastructure,N
FA- Industrial Fan(2 units),1,Unclassified,N
Concreting/Rehablitation of Janiuay Poblacion Bongol – T^ambal Road,1,Infrastructure,I
Construction of Liga Hall,2,Infrastructure,I
Construction of perimeter fence,1,Infrastructure,I
Constructionof water System,1,Infrastructure,I
Installation of Solar Street Light,1,Infrastructure,I
F/A Tent and Plastic Chairs,1,Non-Infrastructure,N
2019 Search for Outstanding LGUs on Ecological and Sustainable Solid Waste Management System (E+3S) Yr.3 (Barangay Category),14,Unclassified,N
Drainage Canal,27,Infrastructure,I
Various Disaster Equipment,1,Non-Infrastructure,N
WiFi,1,Unclassified,N
F/ A Deep Pump 2HP,1,Unclassified,N
Socio Cultural (Year End Assessment-Gift Giving),1,Non-Infrastructure,N
Electric Motor Pump,1,Unclassified,N
FA-Monoblock Chairs(95 pcs),1,Non-Infrastructure,N
2 sets Televesion,1,Unclassified,N
Patrol Rescue Boat,1,Unclassified,N
Proposed Concreting/Rehablitation of Hospital’s/ Isolation and Wards of FRTSMDH,1,Infrastructure,I
"Solar Lighting Syste, (70 Posts)",1,Unclassified,I
Public Address System,92,Unclassified,N
Plastic   Chairs,1,Non-Infrastructure,N
Installation of St. lights,10,Unclassified,I
Filing Cabinet,3,Unclassified,N
Mono Block Chairs (68 pcs) And Tent,1,Non-Infrastructure,N
School Facilities-Sigangao Elem. Sch.,1,Infrastructure,X
Const. of Multi Purpose Building,1,Infrastructure,I
TF-Const. of Classroom,1,Unclassified,I
Aircondition,2,Unclassified,N
F/A  Conduct of Socio Cultuaral Activity,6,Unclassified,N
Computer with Complete Accessories,2,Non-Infrastructure,N
Audio Visual Set,1,Unclassified,N
Construction of Hanging Footbridge,1,Infrastructure,I
Proposed Construction of Slope Protection & Cross Drainage (Brgy. Bangac),1,Infrastructure,I
T/F Installation of Streetlights,1,Infrastructure,I
FA-Socio Cultural Activity (fiesta),1,Non-Infrastructure,N
Tanod Outpost (Coline-Dalag),1,Unclassified,I
Rehabilitation of Evacuation Center,1,Infrastructure,I
F/A Socio Cultural Activities,13,Non-Infrastructure,N
Installation of Solar St. lights( 5 Units),1,Unclassified,I
Public Adress System,8,Unclassified,N
Two Lane Foot walk,1,Unclassified,I
Airconditioning unit,1,Unclassified,N
Conduct of Socio Cultural Activities (Inauguration of Evacuation Center),1,Non-Infrastructure,N
Airconditioner,7,Unclassified,N
Completion of the Repair of Multi-Purpose Hall,1,Infrastructure,I
"Const. of 1-unit, 3 classroom building @ cansilayan Elem.school",1,Infrastructure,I
Service Vehicle,4,Unclassified,N
Concrete Canalization of the Drainage system,1,Infrastructure,I
Box Culvert,4,Unclassified,I
Making of Concrete Blocks,1,Unclassified,X
Health Center,9,Unclassified,I
Construction of Two Storey  Multi-Purpose Building Phase I/ Liga ng mga Barangay Hall,1,Infrastructure,I
Industrial Ceiling Fan & 1 Set  Built-in Speaker,1,Unclassified,N
1 unit Grass cutter & 10 pcs plastic Drums,1,Non-Infrastructure,N
Purchase of Materials for the Well Development of Sohoton Water System  ,1,Unclassified,I
Socio Cultural Activities(fiesta),1,Non-Infrastructure,N
Repair of Day Care center,1,Infrastructure,I
FA-Socio Cultural Activities(cash prizes for fiesta celebration),1,Non-Infrastructure,N
Computer w/ Printer and Scanner,1,Non-Infrastructure,N
"Const. of 1 unit, 1 Storey, 2 Classroom School Bldg at Amaquin Memorial Elem. School",1,Infrastructure,I
Itemized Materials for Brgy. Signage,1,Unclassified,N
Unifroms ,1,Unclassified,N
Imp. Of MP Hall,1,Unclassified,I
Const. of Solar Street Lights(20 units),1,Infrastructure,I
Socio cultural activities,90,Non-Infrastructure,N
Improvement of Multi Purpose hall,1,Infrastructure,I
Purchase of Tanod Uniform,1,Non-Infrastructure,N
Medical Equipment (2 – Weighing Scale & 6 sets Curtains),1,Non-Infrastructure,N
1 set CCTV Camera,1,Non-Infrastructure,N
1 Set Session Table w/ 10 Sitters Chairs,1,Non-Infrastructure,N
Rehabilitation of Gravel Road,1,Infrastructure,I
Fence –Mangil Elementary School,1,Infrastructure,I
Construction of 1 Storey 4 Classroom Bldg-San Antonio-San Nicolas ES,1,Infrastructure,I
Purchase of 1 unit computer with printer with Magbato-Sibacungan Lambunao,1,Non-Infrastructure,N
Reblocking of Arroyo St.,2,Unclassified,I
Teen Center (Dingle Nat’l. HS),1,Unclassified,I
Installation of Solar St. lights,4,Unclassified,I
Teen Center Balasan NHS,1,Unclassified,I
F/A laptop w/ printer,1,Non-Infrastructure,N
Sports Council Meet,1,Unclassified,N
Socio Cultural Activities(cash Prizes),1,Non-Infrastructure,N
Repair of School Building of Punong Grande Elem. Sch.,1,Infrastructure,I
Improvement of MPH (Pader),2,Infrastructure,I
December Fest,1,Unclassified,N
Mini Sound Sytem,3,Unclassified,N
School Building-Agustin Muyco Elem. School,1,Infrastructure,I
1 Unit Photocopier,5,Unclassified,N
F.A CCTV ,1,Non-Infrastructure,N
Construction of Barangay Streetlights,2,Infrastructure,I
Kitchen Tools and Utensils,3,Unclassified,N
Computers and Printers,1,Non-Infrastructure,N
Teen Center,10,Unclassified,I
Mini Sound Set,1,Unclassified,N
Furniture & Fixtures,8,Unclassified,N
Trapal/Tent,1,Non-Infrastructure,N
TF for the Solar Streetlights,2,Infrastructure,I
F.A- Hand Radio ,1,Non-Infrastructure,N
FA-Mini Sound System,1,Non-Infrastructure,N
TV & Chairs,1,Non-Infrastructure,N
Construction of Leachate Pond for Rehabilitation of Mun. Dumpsite,1,Infrastructure,I
TF-Kasadyahan Sa Kabanwahanan,1,Unclassified,N
"TF impt. Of Day Care Center, (Ceiling)",1,Infrastructure,I
Purchase of Plastic chairs,1,Non-Infrastructure,N
Mini Sound,8,Unclassified,N
Establishment of Multi-Purpose Teen Center at Dela Paz National High Sch.,1,Infrastructure,I
Completion of Multi Purpose Covered Gym ,1,Infrastructure,I
"Office Equipment(folding tables,office chairs,movable canopy)",1,Non-Infrastructure,N
Const. of wheelpath of FMR(with appurtenances),1,Unclassified,I
Barangay Hall,3,Unclassified,I
Construction of Footsteps with Handrail,1,Infrastructure,I
Aircoditioning unit,1,Unclassified,N
Repair of School Building of Bancal Elem. Sch.,1,Infrastructure,I
Improvement of streetlights,1,Infrastructure,I
Two Units Rescue Boats,1,Unclassified,N
"Medical Equipment (Hygiene kit,face masks,alcohol, nebulizer, bp apparatus)",1,Non-Infrastructure,N
F/A Training of Sepak Takraw Team,1,Non-Infrastructure,N
Socio Cultural Activities (Sound System),4,Non-Infrastructure,N
F/A Computer W/ Printer,1,Non-Infrastructure,N
Environment Activity,1,Unclassified,N
2 Units Water Pump & Engine seats,1,Unclassified,N
